cora
74.78 58.07 55.53 72.52
74.56 55.95 52.0 73.53
74.0 57.88 52.01 69.58
72.6 56.68 49.09 68.84
74.11 57.18 51.89 69.76
73.56 56.87 52.58 65.05
74.48 57.41 54.74 72.19
75.26 56.56 52.51 73.63
74.93 55.53 52.16 73.81
72.34 56.18 48.32 68.66
3 0.001 [500] 0.01
74.06 0.92
56.83 0.78
52.08 2.06
70.76 2.71

cora
cora
72.42 54.56 51.35 70.29
71.38 54.2 48.53 70.15
72.97 53.22 48.64 71.97
73.08 56.66 50.53 69.33
73.89 55.64 51.16 72.68
71.86 54.37 49.78 63.44
74.37 58.21 52.41 69.98
73.49 53.9 49.64 72.34
74.85 54.96 52.79 73.28
71.49 55.34 48.4 64.03
3 0.001 [500] 0.01
72.98 1.13
55.11 1.38
50.32 1.51
69.75 3.25
citeseer
cora
72.01 52.97 49.63 70.04
70.24 52.47 46.68 62.44
72.78 57.52 49.18 66.02
70.64 55.48 50.33 68.12
71.16 54.27 47.16 64.21
70.9 53.18 47.52 62.96
74.41 58.41 51.01 70.7
71.05 52.89 48.55 69.45
75.04 55.13 52.8 73.64
71.82 55.94 47.38 68.37
3 0.0005 [500] 0.01
72.0 1.53
54.83 1.94
49.02 1.86
67.6 3.44
citeseer
cora
70.83 53.96 46.9 63.73
70.72 54.82 45.57 64.17
71.75 55.59 47.18 65.33
67.28 51.27 41.65 61.88
72.75 54.43 47.12 72.99
70.86 54.54 47.52 63.87
74.63 57.42 53.23 70.21
70.16 53.63 46.52 67.17
72.23 53.39 48.05 71.88
72.12 56.27 47.99 68.74
3 0.0002 [500] 0.01
71.33 1.82
54.53 1.6
47.17 2.68
67.0 3.61
citeseer
cora
72.42 54.56 51.35 70.29
71.38 54.2 48.53 70.15
72.97 53.22 48.64 71.97
73.08 56.66 50.53 69.33
73.89 55.64 51.16 72.68
71.86 54.37 49.78 63.44
74.37 58.21 52.41 69.98
73.49 53.9 49.64 72.34
74.85 54.96 52.79 73.28
71.49 55.34 48.4 64.03
3 0.001 [500] 0.01
72.98 1.13
55.11 1.38
50.32 1.51
69.75 3.25
citeseer
cora
72.27 54.36 51.25 69.97
71.38 53.95 48.4 70.12
72.3 52.93 47.44 71.56
71.45 55.34 48.93 67.77
73.6 54.95 50.4 72.5
71.53 53.73 49.2 63.14
74.11 57.95 51.78 69.82
71.16 55.13 46.75 67.5
75.0 55.04 52.82 73.53
70.64 52.72 47.22 69.53
3 0.001 [500] 0.01
72.34 1.36
54.61 1.41
49.42 1.97
69.54 2.79
citeseer
cora
72.16 56.44 50.18 64.67
73.67 55.25 49.98 72.7
74.48 56.9 53.6 72.96
70.16 52.3 47.13 61.91
72.38 54.94 50.02 71.09
71.57 54.43 49.38 63.16
73.08 55.76 50.87 68.42
75.7 56.47 53.29 74.37
75.7 56.3 53.64 74.23
73.08 53.44 49.85 71.68
3 0.002 [500] 0.01
73.2 1.67
55.22 1.4
50.79 2.0
69.52 4.45
citeseer
cora
72.19 52.85 46.06 71.13
70.27 54.14 46.41 64.09
74.04 55.24 50.35 72.71
69.2 54.7 48.06 62.68
72.12 54.62 48.87 68.07
71.09 53.48 48.72 62.41
65.21 47.44 40.03 63.64
64.4 47.92 39.66 60.24
67.39 50.4 40.87 64.0
72.56 56.31 50.15 67.96
3 0.005 [500] 0.01
69.85 3.08
52.71 2.93
45.92 3.98
65.69 3.86
citeseer
cora
74.0 55.67 50.76 72.14
69.83 54.69 49.89 67.07
73.26 54.44 48.66 72.45
71.42 54.24 48.64 70.12
75.66 56.53 53.65 74.1
71.68 54.9 49.3 62.98
68.21 53.53 44.36 64.2
74.11 54.38 50.78 72.74
72.56 52.84 48.53 70.61
72.6 53.64 49.09 70.99
3 0.003 [500] 0.01
72.33 2.06
54.49 1.01
49.37 2.22
69.74 3.57
citeseer
